id,name,type,ordered,laid_down,commissioned,launched,fate,fate_type,fate_survivors,fate_lat,fat_lon,fate_dead,shipyard,ships_sunk
1,U-1,IIA,2/2/1935,2/11/1935,6/29/1935,6/15/1935,4/6/1940,Sunk,0,54.14,5.07,24,"Deutsche Werke AG, Kiel",0
2,U-2,IIA,2/2/1935,2/11/1935,7/25/1935,7/1/1935,4/8/1944,Sunk,18,54.48,19.55,17,"Deutsche Werke AG, Kiel",0
3,U-3,IIA,2/2/1935,2/11/1935,8/6/1935,7/19/1935,8/1/1944,Decommissioned,0,,,0,"Deutsche Werke AG, Kiel",2
4,U-4,IIA,2/2/1935,2/11/1935,8/17/1935,7/31/1935,7/31/1944,Decommissioned,0,,,0,"Deutsche Werke AG, Kiel",3
5,U-5,IIA,2/2/1935,2/11/1935,8/31/1935,8/14/1935,3/19/1943,Sunk,16,54.40,19.45,21,"Deutsche Werke AG, Kiel",0
6,U-6,IIA,2/2/1935,2/11/1935,9/7/1935,8/21/1935,8/7/1944,Decommissioned,0,,,0,"Deutsche Werke AG, Kiel",0
7,U-7,IIB,7/20/1934,3/11/1935,7/18/1935,6/29/1935,2/18/1944,Sunk,0,54.52,19.29,29,"F. Krupp Germaniawerft AG, Kiel",1
8,U-8,IIB,7/20/1934,3/25/1935,8/5/1935,7/16/1935,3/31/1945,Decommissioned,0,,,0,"F. Krupp Germaniawerft AG, Kiel",0
9,U-9,IIB,7/20/1934,4/8/1935,8/21/1935,7/30/1935,8/20/1944,Sunk,0,44.10,28.41,0,"F. Krupp Germaniawerft AG, Kiel",7
10,U-10,IIB,7/20/1934,4/22/1935,9/9/1935,8/13/1935,8/1/1944,Decommissioned,0,,,0,"F. Krupp Germaniawerft AG, Kiel",2
11,U-11,IIB,7/20/1934,5/6/1935,9/21/1935,8/27/1935,1/5/1945,Decommissioned,0,,,0,"F. Krupp Germaniawerft AG, Kiel",0
12,U-12,IIB,7/20/1934,5/20/1935,9/30/1935,9/11/1935,10/8/1939,Sunk,0,51.10,1.30,27,"F. Krupp Germaniawerft AG, Kiel",0
13,U-13,IIB,2/2/1935,6/20/1935,11/30/1935,11/9/1935,5/31/1940,Sunk,26,52.26,2.02,0,"Deutsche Werke AG, Kiel",9
14,U-14,IIB,2/2/1935,7/6/1935,1/18/1936,12/28/1935,3/3/1945,Decommissioned,0,,,0,"Deutsche Werke AG, Kiel",9
15,U-15,IIB,2/2/1935,9/24/1935,3/7/1936,2/15/1936,1/30/1940,Sunk,0,54.24,7.50,25,"Deutsche Werke AG, Kiel",3
16,U-16,IIB,2/2/1935,8/5/1935,5/16/1936,4/28/1936,10/25/1939,Scuttled,0,51.09,1.28,28,"Deutsche Werke AG, Kiel",1
17,U-17,IIB,2/2/1935,7/1/1935,12/3/1935,11/14/1935,2/6/1945,Decommissioned,0,,,0,"F. Krupp Germaniawerft AG, Kiel",3
18,U-18,IIB,2/2/1935,7/10/1935,1/4/1936,12/7/1935,8/25/1944,Scuttled,0,43.52,28.51,0,"F. Krupp Germaniawerft AG, Kiel",2
19,U-19,IIB,2/2/1935,7/20/1935,1/16/1936,12/21/1935,9/11/1944,Scuttled,0,41.34,31.50,0,"F. Krupp Germaniawerft AG, Kiel",14
20,U-20,IIB,2/2/1935,8/1/1935,2/1/1936,1/14/1936,9/10/1944,Scuttled,0,41.10,30.47,0,"F. Krupp Germaniawerft AG, Kiel",13
21,U-21,IIB,2/2/1935,3/4/1936,8/3/1936,7/31/1936,8/5/1944,Decommissioned,0,,,0,"F. Krupp Germaniawerft AG, Kiel",5
22,U-22,IIB,2/2/1935,3/4/1936,8/20/1936,7/29/1936,3/27/1940,Missing,0,,,27,"F. Krupp Germaniawerft AG, Kiel",6
23,U-23,IIB,2/2/1935,4/11/1936,9/24/1936,8/28/1936,9/10/1944,Scuttled,0,41.11,30.00,0,"F. Krupp Germaniawerft AG, Kiel",7
24,U-24,IIB,2/2/1935,4/21/1936,10/10/1936,9/24/1936,8/25/1944,Scuttled,0,44.12,28.41,0,"F. Krupp Germaniawerft AG, Kiel",1
25,U-25,IA,12/17/1934,6/28/1935,4/6/1936,2/14/1936,8/2/1940,Sunk,0,54.14,5.07,49,"AG Weser, Bremen",7
26,U-26,IA,12/17/1934,8/1/1935,5/6/1936,3/14/1936,7/1/1940,Scuttled,48,48.03,-11.30,0,"AG Weser, Bremen",11
27,U-27,VIIA,4/1/1935,11/11/1935,8/12/1936,6/24/1936,9/20/1939,Sunk,38,58.35,-9.02,0,"AG Weser, Bremen",2
28,U-28,VIIA,4/1/1935,12/2/1935,9/12/1936,7/14/1936,3/17/1944,Sunk,0,54.07,10.50,0,"AG Weser, Bremen",11
29,U-29,VIIA,4/1/1935,1/2/1936,11/16/1936,8/29/1936,4/17/1944,Decommissioned,0,,,0,"AG Weser, Bremen",12
30,U-30,VIIA,4/1/1935,1/24/1936,10/8/1936,8/4/1936,1/23/1945,Decommissioned,0,,,0,"AG Weser, Bremen",16
31,U-31,VIIA,4/1/1935,3/1/1936,12/28/1936,9/25/1936,3/11/1940,Sunk,0,53.37,8.10,58,"AG Weser, Bremen",11
32,U-32,VIIA,4/1/1935,3/15/1936,4/15/1937,2/25/1937,10/30/1940,Sunk,33,55.37,-12.19,9,"AG Weser, Bremen",20
33,U-33,VIIA,3/25/1935,9/1/1935,7/25/1936,6/11/1936,2/12/1940,Sunk,17,55.23,-5.08,25,"F. Krupp Germaniawerft AG, Kiel",10
34,U-34,VIIA,3/25/1935,9/15/1935,9/12/1936,7/17/1936,8/5/1943,Sunk,39,55.43,21.06,4,"F. Krupp Germaniawerft AG, Kiel",19
35,U-35,VIIA,3/25/1935,3/2/1936,11/3/1936,9/24/1936,11/29/1939,Sunk,43,60.53,2.47,0,"F. Krupp Germaniawerft AG, Kiel",4
36,U-36,VIIA,3/25/1935,3/2/1936,12/16/1936,11/4/1936,12/4/1939,Sunk,0,57.00,5.20,40,"F. Krupp Germaniawerft AG, Kiel",2
37,U-37,IX,7/29/1936,3/15/1937,8/4/1938,5/14/1938,5/5/1945,Scuttled,0,54.55,9.47,0,"AG Weser, Bremen",53
38,U-38,IX,7/29/1936,4/15/1937,10/24/1938,8/9/1938,5/5/1945,Scuttled,0,53.34,8.32,0,"AG Weser, Bremen",35
39,U-39,IX,7/29/1936,6/2/1937,12/10/1938,9/22/1938,9/14/1939,Sunk,44,58.32,-11.49,0,"AG Weser, Bremen",0
40,U-40,IX,7/29/1936,7/1/1937,2/11/1939,11/9/1938,10/13/1939,Sunk,3,51.07,1.48,45,"AG Weser, Bremen",0
41,U-41,IX,11/21/1936,11/27/1937,4/22/1939,1/28/1939,2/5/1940,Sunk,0,49.20,-10.04,49,"AG Weser, Bremen",5
42,U-42,IX,11/21/1936,12/21/1937,7/15/1939,2/16/1939,10/13/1939,Sunk,20,49.12,-16.00,26,"AG Weser, Bremen",1
43,U-43,IX,11/21/1936,8/15/1938,8/26/1939,5/23/1939,7/30/1943,Sunk,0,34.57,-35.11,55,"AG Weser, Bremen",21
44,U-44,IX,11/21/1936,9/15/1938,11/4/1939,8/5/1939,3/13/1940,Sunk,0,54.14,5.07,47,"AG Weser, Bremen",8
45,U-45,VIIB,11/21/1936,2/23/1937,6/25/1938,4/27/1938,10/14/1939,Sunk,0,50.58,-12.57,38,"F. Krupp Germaniawerft AG, Kiel",2
46,U-46,VIIB,11/21/1936,2/24/1937,11/2/1938,9/10/1938,10/1/1943,Decommissioned,0,,,0,"F. Krupp Germaniawerft AG, Kiel",20
47,U-47,VIIB,11/21/1936,2/27/1937,12/17/1938,10/29/1938,3/7/1941,Missing,0,60.00,-13.00,45,"F. Krupp Germaniawerft AG, Kiel",30
48,U-48,VIIB,11/21/1936,3/10/1937,4/22/1939,3/8/1939,9/25/1943,Decommissioned,0,,,0,"F. Krupp Germaniawerft AG, Kiel",51
49,U-49,VIIB,11/21/1936,9/15/1938,8/12/1939,6/24/1939,4/15/1940,Sunk,41,68.53,16.59,1,"F. Krupp Germaniawerft AG, Kiel",1
50,U-50,VIIB,11/21/1936,11/3/1938,12/12/1939,11/1/1939,4/6/1940,Sunk,0,54.14,5.07,44,"F. Krupp Germaniawerft AG, Kiel",4
51,U-51,VIIB,11/21/1936,2/26/1937,8/6/1938,6/11/1938,8/20/1940,Sunk,0,47.06,-4.51,43,"F. Krupp Germaniawerft AG, Kiel",5
52,U-52,VIIB,5/15/1937,3/9/1937,2/4/1939,12/21/1938,10/22/1943,Decommissioned,0,,,0,"F. Krupp Germaniawerft AG, Kiel",13
53,U-53,VIIB,5/15/1937,3/13/1937,6/24/1939,5/6/1939,2/24/1940,Sunk,0,60.32,-6.14,42,"F. Krupp Germaniawerft AG, Kiel",7
54,U-54,VIIB,7/16/1937,9/13/1938,9/23/1939,8/15/1939,2/13/1940,Sunk,0,,,41,"F. Krupp Germaniawerft AG, Kiel",0
55,U-55,VIIB,7/16/1937,11/2/1938,11/21/1939,10/19/1939,1/30/1940,Sunk,41,48.37,-7.48,1,"F. Krupp Germaniawerft AG, Kiel",6
