id,name,loss_type,attack_time,attack_date,attack_lat,attack_lo,nationality,tonnage,complement,survivors,dead,commander,ship_name
3,U-3,Sunk,10.17.00 AM,9/30/1939,57.39,7.48,Danish,1150,17,6,11,Joachim Schepke,Vendia
3,U-3,Sunk,9.08.00 PM,9/30/1939,57.27,7.55,Swedish,1198,18,18,0,Joachim Schepke,Gun
4,U-4,Sunk,11.00.00 PM,9/22/1939,,,Finnish,2262,24,24,0,Harro von Klot-Heydenfeldt,Martti-Ragnar
4,U-4,Sunk,11.20.00 AM,9/23/1939,58.15,11,Finnish,1361,18,18,0,Harro von Klot-Heydenfeldt,Walma
4,U-4,Sunk,10.37.00 AM,9/24/1939,58.4,9.52,Swedish,1510,20,20,0,Harro von Klot-Heydenfeldt,Gertrud Bratt
4,U-4,Sunk,5.05.00 PM,4/10/1940,59.09,5.11,British,1090,53,0,53,Hans-Peter Hinsch,HMS Thistle (N 24)
7,U-7,Sunk,2.30.00 PM,9/22/1939,60.07,4.37,British,2694,26,26,0,Werner Heidel,Akenside
7,U-7,Total Loss,7.45.00 AM,9/29/1939,60.15,4.41,Norwegian,1830,,,0,Werner Heidel,Takstaas
9,U-9,Sunk,8.30.00 PM,1/18/1940,54,3.4,Swedish,1179,21,4,17,Wolfgang Lüth,Flandria
9,U-9,Sunk,8.30.00 PM,1/19/1940,54.16,3.3,Swedish,1188,23,4,19,Wolfgang Lüth,Patria
9,U-9,Sunk,6.20.00 PM,2/11/1940,58.51,1.54,Estonian,1213,,,1,Wolfgang Lüth,Linda
9,U-9,Sunk,8.10.00 PM,5/4/1940,57.46,-3.45,British,5995,40,40,0,Wolfgang Lüth,San Tiburcio
9,U-9,Sunk,12.14.00 AM,5/9/1940,52.48,3.49,French,552,45,0,45,Wolfgang Lüth,Doris (Q 135)
9,U-9,Sunk,12.49.00 AM,5/11/1940,51.22,2.26,Estonian,1908,20,5,15,Wolfgang Lüth,Viiu
9,U-9,Sunk,2.00.00 PM,5/11/1940,51.21,2.55,British,1930,23,6,17,Wolfgang Lüth,Tringa
9,U-9,Sunk,12.54.00 PM,5/23/1940,51.29,2.38,Belgian,3256,,,0,Wolfgang Lüth,Sigurd Faulbaum
9,U-9,Damaged,4.32.00 PM,5/11/1944,43.5,39.26,Soviet,412,,,,Klaus Petersen,Shtorm
10,U-10,Sunk,2.05.00 AM,2/17/1940,51.5,3.19,Norwegian,1819,20,20,0,Joachim Preuss,Kvernaas
10,U-10,Sunk,9.26.00 AM,2/18/1940,51.54,3.01,Dutch,4537,48,48,0,Joachim Preuss,Ameland
13,U-13,Sunk,5.25.00 PM,9/10/1939,52.11,1.43,British,8641,81,75,6,Karl Daublebsky von Eichhain,Magdapur
13,U-13,Damaged,,9/16/1939,52.14,1.43,British,10902,139,138,1,Karl Daublebsky von Eichhain,City of Paris
13,U-13,Sunk,1.00.00 AM,9/24/1939,52.09,1.43,French,2660,,,0,Karl Daublebsky von Eichhain,Phryné
13,U-13,Sunk,10.50.00 PM,10/30/1939,57.38,-1.45,British,4666,45,42,3,Karl Daublebsky von Eichhain,Cairnmona
13,U-13,Sunk,11.28.00 PM,11/19/1939,55.45,-1.35,British,793,13,0,13,Heinz Scheringer,Bowling
13,U-13,Damaged,,1/6/1940,,,British,8317,164,163,1,Heinz Scheringer,City of Marseilles
13,U-13,Sunk,12.43.00 AM,1/31/1940,,,Norwegian,1168,16,0,16,Max-Martin Schulte,Start
13,U-13,Sunk,1.43.00 AM,2/1/1940,57.43,-2.06,Swedish,2491,23,14,9,Max-Martin Schulte,Fram
13,U-13,Sunk,,2/6/1940,,,Estonian,1421,,,7,Heinz Scheringer,Anu
13,U-13,Sunk,5.33.00 PM,4/17/1940,61,-0.5,British,4935,38,38,0,Max-Martin Schulte,Swainby
13,U-13,Sunk,1.17.00 AM,4/26/1940,58.57,-4.12,Danish,1281,23,0,23,Max-Martin Schulte,Lily
13,U-13,Damaged,1.29.00 AM,4/28/1940,58.41,-4.4,British,6999,,,0,Max-Martin Schulte,Scottish American
14,U-14,Sunk,2.30.00 AM,1/25/1940,52.39,4.15,Norwegian,1752,58,21,37,Herbert Wohlfarth,Biarritz
14,U-14,Sunk,11.15.00 PM,2/15/1940,58.18,-1.46,Danish,1066,41,28,13,Herbert Wohlfarth,Sleipner
14,U-14,Sunk,11.15.00 PM,2/16/1940,58.18,-1.46,Danish,1064,20,11,9,Herbert Wohlfarth,Rhone
14,U-14,Sunk,9.25.00 PM,2/16/1940,,,Swedish,1526,20,7,13,Herbert Wohlfarth,Osmed
14,U-14,Sunk,9.25.00 PM,2/16/1940,,,Swedish,1646,20,10,10,Herbert Wohlfarth,Liana
14,U-14,Sunk,4.30.00 AM,3/7/1940,51.45,3.05,Dutch,1965,22,0,22,Herbert Wohlfarth,Vecht
14,U-14,Sunk,5.42.00 AM,3/9/1940,51.44,3.22,British,1097,21,21,0,Herbert Wohlfarth,Borthwick
14,U-14,Sunk,11.30.00 PM,3/9/1940,,,British,1585,19,0,19,Herbert Wohlfarth,Abbotsford
14,U-14,Sunk,11.30.00 PM,3/9/1940,51.44,3.22,British,643,13,0,13,Herbert Wohlfarth,Akeld
15,U-15,Sunk,6.10.00 AM,9/10/1939,,,British,2796,24,23,1,Heinz Buchholz,Goodwood
15,U-15,Sunk,,10/21/1939,53.54,0.07,British,1478,20,4,16,Heinz Buchholz,Orsa
15,U-15,Sunk,,12/28/1939,,,British,258,,,0,Heinz Buchholz,Resercho
16,U-16,Sunk,12.30.00 AM,9/28/1939,,,Swedish,3378,,,0,Hannes Weingärtner,Nyland
16,U-16,Sunk,,11/21/1939,,,French,57,11,0,11,Horst Wellner,Ste. Claire
17,U-17,Sunk,,9/14/1939,51.07,1.27,British,210,5,0,5,Heinz von Reiche,Hawarden Castle
17,U-17,Sunk,9.59.00 PM,3/2/1940,51.36,2.54,Dutch,695,12,0,12,Udo Behrens,Rijnstroom
17,U-17,Sunk,8.15.00 PM,3/5/1940,51.41,2.47,Dutch,920,18,0,18,Udo Behrens,Grutto
